Hprev,Cprev,Deaths,output,replicate
139.714285714286,38.7142857142857,148,Ens000t,6
233.714285714286,72.0,374,Ens000t,7
137.0,36.2857142857143,111,Ens000t,8
113.0,24.5714285714286,124,Ens000t,9
102.0,24.1428571428571,123,Ens000t,10
147.714285714286,36.4285714285714,174,Ens000t,11
189.714285714286,44.0,221,Ens000t,12
116.142857142857,21.8571428571429,113,Ens000t,13
156.428571428571,40.0,168,Ens000t,14
128.428571428571,24.2857142857143,117,Ens000t,15
85.4285714285714,22.2857142857143,89,Ens000t,16
123.571428571429,25.2857142857143,126,Ens000t,17
255.428571428571,85.8571428571429,468,Ens000t,18
109.142857142857,28.5714285714286,122,Ens000t,19
217.857142857143,48.2857142857143,228,Ens000t,20
2.85714285714286,0.428571428571429,1,Ens000u,1
2.42857142857143,0.714285714285714,1,Ens000u,2
3.0,0.428571428571429,1,Ens000u,3
1.42857142857143,0.0,3,Ens000u,4
3.28571428571429,2.28571428571429,1,Ens000u,5
3.0,3.0,6,Ens000u,6
0.857142857142857,2.14285714285714,1,Ens000u,7
0.571428571428571,0.285714285714286,0,Ens000u,8
0.285714285714286,0.714285714285714,0,Ens000u,9
1.71428571428571,0.857142857142857,1,Ens000u,10
0.142857142857143,0.0,0,Ens000u,11
5.85714285714286,4.57142857142857,3,Ens000u,12
6.85714285714286,2.85714285714286,7,Ens000u,13
0.0,1.42857142857143,1,Ens000u,14
1.85714285714286,0.142857142857143,0,Ens000u,15
3.57142857142857,1.14285714285714,0,Ens000u,16
0.0,0.0,0,Ens000u,17
1.0,0.285714285714286,1,Ens000u,18
0.571428571428571,0.0,0,Ens000u,19
0.0,0.0,0,Ens000u,20
0.285714285714286,1.28571428571429,1,Ens000v,1
1.0,0.0,0,Ens000v,2
0.857142857142857,0.0,0,Ens000v,3
0.0,0.0,0,Ens000v,4
0.142857142857143,0.428571428571429,0,Ens000v,5
0.0,1.0,1,Ens000v,6
0.857142857142857,0.0,0,Ens000v,7
